بلدية,Municipalite,Code Geo,2017 - Ressources budgétaires totales du conseil municipal X  Estimations préliminaires,2017 - Ressources budgétaires totales du conseil municipal X Prévisions actuelles ,2017 - Ressources budgétaires totales du conseil municipal X ressources réalisées,2017 - Ressources budgétaires totales du conseil municipal X % de réalisation,2017 - Dépenses totales du consel municipal x Estimations péliminaires,2017 - Dépenses totales du consel municipal x Estimations actuelles,2017 - Dépenses totales du conseil municipal X dépenses réalisées,2017 - Dépenses totales du conseil municipal X % de réalisation,2017 - Recettes - Dépenses,2017 - % des Dépenses par rapport a la ressource
بلدية مقرين,Municipalite de Megrine,1318,8402000,8763682,4260017,48.61%,8402000,8763682,3401913,38.82%,858104,0.798567939987094
بلدية المحمدية فوشانة,Municipalite Mhamdia Fouchana,1319,10156220,10778433,9815494,91.07%,10155536,10777748,1887197,17.51%,7928297,0.1922671441702272
بلدية مرناق,Municipalite de Morneg,1320,6017000,6105033,1664693,27.27%,6017000,6105033,789104,12.93%,875589,0.47402373891161914
بلدية الخليدية,Municipalite de Khlidia,1321,1275435,1353196,896164,66.23%,1144285,1228165,473281,38.54%,422883,0.528118737195424
بلدية منوبة,Municipalite de Manouba,1411,8006040,7816269,5283467,67.6%,7991040,7816269,1311184,16.78%,3972283,0.24816734920460373
بلدية الدندان,Municipalite de Denden,1412,2800000,4272432,2263416,52.98%,2644000,4122432,864978,20.98%,1398438,0.38215599783689785
بلدية دوار هيشر,Municipalite Douar Hicher,1413,8111301,8249973,5203652,63.07%,8111301,8249973,2272199,27.54%,2931453,0.4366546802130504
بلدية وادي الليل,Municipalite Oued Ellil,1414,6118901,6118901,4461649,72.92%,6118901,6118901,1562347,25.53%,2899302,0.3501725483111737
بلدية المرناقية,Municipalite de Mornaguia,1415,2909035,3066533,1966536,64.13%,2909035,3066533,535982,17.48%,1430554,0.27255132883405137
بلدية برج العامري,Municipalite de Borj El Amri,1416,967449,967537,421537,43.57%,967449,967537,280679,29.01%,140858,0.6658466516580989
بلدية الجديدة,Municipalite de Jedaida,1417,4452946,4988711,3836916,76.91%,4350776,4957734,870187,17.55%,2966729,0.22679334131891343
بلدية طبربة,Municipalite de Tebourba,1418,2650000,2862122,1412870,49.36%,2650000,2862122,668518,23.36%,744352,0.4731631360280847
بلدية البطان,Municipalite de Battan,1419,1106834,1106834,608578,54.98%,1106834,1106834,306391,27.68%,302187,0.5034539533141191
بلدية نابل,Municipalite de Nabeul,1511,15701002,16582330,10943787,0.66,15701002,16582330,3267163,19.7%,7676624,0.29854044125676055
بلدية دار شعبان الفهري,Municipalite de Dar Chaaben,1512,8304259,9097899,3649306,40.11%,8300259,9097899,1466454,16.12%,2182852,0.4018446247039848
بلدية بني خيار,Municipalite de Beni Khiar,1513,3395750,4098464,2337033,57.02%,3395750,4098464,1132991,27.64%,1204042,0.4847988881628971
بلدية المعمورة,Municipalite de Maamoura,1514,1690000,1930810,1239247,64.18%,1690000,1930810,279879,14.5%,959368,0.22584601778337973
بلدية الصمعة,Municipalite de Somaa,1515,1220000,1603284,1030601,64.28%,1220000,1603284,318345,19.86%,712256,0.30889257821407123
بلدية قربة,Municipalite de Korba,1516,6970000,8603258,5203575,60.48%,6898042,8531300,1349455,15.82%,3854120,0.2593322859764681
بلدية تازركة,Municipalite de Tazerka,1517,3028700,3056538,1471131,48.13%,3028700,3056538,517830,16.94%,953301,0.3519944858751532
بلدية منزل تميم,Municipalite de Menzel Tmim,1518,5935000,6553697,4203721,64.14%,5935000,6553697,1796686,27.41%,2407035,0.4274037216075948
بلدية منزل حر,Municipalite Menzel Horr,1519,976000,1888320,1206408,63.89%,976000,1888320,237026,12.55%,969382,0.19647250349798742
بلدية الميدة,Municipalite de Mida,1520,1260000,1904008,992961,52.15%,1260000,1904008,146335,7.69%,846626,0.1473723539998046
بلدية قليبية,Municipalite de Kelibia,1521,6838000,7542443,4807390,63.74%,6616036,7320479,1484328,20.28%,3323062,0.30875963880608814
بلدية أزمور,Municipalite Azmour,1522,818500,1267457,638942,50.41%,818500,1267457,164005,12.94%,474937,0.2566821401629569
بلدية حمام الأغزاز,Municipalite de Hammam Guezaz,1523,1400481,1629126,1227002,75.32%,1326931,1552741,273707,17.63%,953295,0.2230697260477163
بلدية دار علوش,Municipalite de Dar Allouch,1524,869000,997403,570255,57.17%,869000,997403,255446,25.61%,314809,0.44795047829479795
بلدية الهوارية,Municipalite de Haouaria,1525,1781800,3045013,1879888,61.74%,1781800,3045013,355945,11.69%,1523943,0.18934372686032358
بلدية تاكلسة,Municipalite de Takelsa,1526,1648000,3375104,2646866,78.42%,1648000,3375104,645712,19.13%,2001154,0.2439534150954374
بلدية سليمان,Municipalite de Soliman,1527,16261378,17337516,10101148,58.26%,16011378,17337516,3012972,17.38%,7088176,0.29828015587931195
بلدية قربص,Municipalite de Korbous,1528,820900,864532,318777,36.87%,690340,733972,170697,23.26%,148080,0.5354746421479593
بلدية منزل بوزلفة,Municipalite de Meznel Bouzelfa,1529,4991000,5549031,3132520,56.45%,4946000,5549031,1085491,19.56%,2047029,0.3465232464597193
بلدية بني خلاد,Municipalite de Beni Khaled,1530,2864266,3175631,1662578,52.35%,2864266,3175631,722193,22.74%,940385,0.4343814245106094
بلدية زاوية الجديدي,Municipalite de Zaouiet Jdidi,1531,1273500,1263938,656598,51.95%,1253500,1263938,241082,19.07%,415516,0.367168343491756
بلدية قرنبالية,Municipalite de Grombalia,1532,9049000,9785812,6464955,66.06%,9049000,9785812,1293816,13.22%,5171139,0.200127611097061
بلدية بوعرقوب,Municipalite de Bouargoub,1533,5098000,5345110,3520794,65.87%,4998000,5345110,1567745,29.33%,1953049,0.4452816608980815
بلدية الحمامات,Municipalite de Hammamet,1534,22317858,23209998,12102134,52.14%,21082000,21974140,3500111,15.93%,8602023,0.28921436500372577
بلدية زغوان,Municipalite de Zaghouan,1611,5168133,7903297,5621199,71.12%,5168133,7903297,920631,11.65%,4700568,0.16377840386010173
بلدية الزريبة,Municipalite de Zriba,1612,4692571,5470640,3427607,62.65%,4444379,5222449,1328692,25.44%,2098915,0.38764420775193886
بلدية بير مشارقة,Municipalite de Bir Mchergua,1613,2500000,4152117,3029757,72.97%,2400886,4152117,820743,19.77%,2209014,0.2708940023902907
بلدية جبل الوسط,Municipalite de Djebel Elwest,1614,2127000,3474920,2343602,67.44%,1365346,3474920,267231,7.69%,2076371,0.11402576034668002
بلدية الفحص,Municipalite de Fahs,1615,3900000,6027614,4599731,76.31%,2961842,6027614,901994,14.96%,3697737,0.19609711959242834
بلدية الناظور,Municipalite de Nadhour,1616,3168000,3961681,1678700,42.37%,2786208,3961681,739692,18.67%,939008,0.44063382379222016
بلدية بنزرت,Municipalite de Bizerte,1711,19975314,21854630,13075839,59.83%,19975314,21854630,5544327,25.37%,7531512,0.42401309774462653
بلدية سجنان,Municipalite de Sejnane,1712,1800000,1800000,709316,39.41%,1800000,1800000,437228,24.29%,272088,0.6164079197423997
بلدية ماطر,Municipalite de Mateur,1713,8526000,8526000,5186790,60.83%,8425247,8425247,1482988,17.6%,3703802,0.2859163374649832
بلدية منزل بورقيبة,Municipalite de Menzel Bourguiba,1714,8657675,8670000,4283882,49.41%,8470394,8637218,2335017,27.03%,1948865,0.5450703357375389
بلدية تينجة,Municipalite de Tinja,1715,2614000,2620000,1243539,47.46%,2560617,2568117,135082,5.26%,1108457,0.10862707160772601
بلدية غار الملح,Municipalite de Ghar Melh,1716,1266933,1273731,637051,50.01%,1259004,1265802,437371,34.55%,199680,0.6865557074708304
بلدية عوسجة,Municipalite de Aousja,1717,990685,992832,506112,50.98%,990685,992832,116559,11.74%,389553,0.23030277883156297
بلدية منزل جميل,Municipalite de Menzel Jemil,1718,4251272,4255272,1319446,31.01%,4200170,4204170,547615,13.03%,771831,0.41503403701250374
بلدية منزل عبد الرحمان,Municipalite Menzel Abderrahmen,1719,2291565,2308488,1002190,43.41%,2281909,2290186,465117,20.31%,537073,0.4641006196429819
بلدية العالية,Municipalite de Alia,1720,3828250,3839000,2132031,55.54%,3828250,3839000,796653,20.75%,1335378,0.37365920101536987
بلدية رأس الجبل,Municipalite de Ras Jebel,1721,5426339,5180000,3077634,59.41%,5426339,5180000,500735,9.67%,2576899,0.1627012828685932
بلدية الماتلين,Municipalite de Metline,1722,1394329,1407115,612372,43.52%,1391265,1401933,166212,11.86%,446160,0.2714232525327742
بلدية رفراف,Municipalite de Rafraf,1723,1944805,1952805,845541,43.3%,1944805,1952805,482603,24.71%,362938,0.5707623876311143
بلدية باجة,Municipalite de Beja,2111,11665203,11990987,7572099,63.15%,11638095,11990987,2421581,20.2%,5150518,0.3198031351676728
بلدية المعقولة,Municipalite de Maagoula,2112,1272500,1498795,907488,60.55%,1113202,1329455,314578,23.66%,592910,0.34664700800451353
بلدية زهرة مدين,Municipalite de Zahret Medien,2113,1372500,1356937,640222,47.18%,1269221,1306937,235637,18.03%,404585,0.3680551433721428
بلدية نفزة,Municipalite de Nefza,2114,1996126,1952650,842659,43.15%,1985626,1952650,435729,22.31%,406930,0.5170881697104048
بلدية تبرسق,Municipalite de Tborsok,2115,1801067,1849605,921977,49.85%,1801067,1849605,209457,11.32%,712520,0.22718245682918337
بلدية تستور,Municipalite de Testour,2116,1525275,1505859,417344,27.71%,1519094,1505859,316623,21.03%,100721,0.7586619191841742
بلدية قبلاط,Municipalite de Gbollat,2117,1743447,1753456,547346,31.22%,1706772,1717488,290911,16.94%,256435,0.5314937900340918
بلدية مجاز الباب,Municipalite de Medjez El Beb,2118,5987033,5976941,2451222,41.01%,5984670,5976941,888892,14.87%,1562330,0.36263218916932044
بلدية جندوبة,Municipalite de Jendouba,2211,11259660,11399132,7475992,65.58%,11259660,11399132,2162987,18.98%,5313005,0.28932441340226156
بلدية بوسالم,Municipalite de Boussalem,2212,3337532,3763649,2131428,56.63%,3337532,3763649,1007455,26.77%,1123973,0.47266668168007553
بلدية طبرقة,Municipalite de Tabarka,2213,3089590,3214286,1599388,49.76%,3089590,3214286,692157,21.53%,907231,0.4327636570988403
عين دراهم,Municipalite de Ain Drahem,2214,1931224,2017452,898444,44.53%,1931224,2017452,416259,20.63%,482185,0.4633110132629301
بلدية فرنانة,Municipalite de Feriana,2215,1659027,1990344,1296312,65.13%,1626145,1988437,310609,15.62%,985703,0.2396097544418319
بلدية بني مطير,Municipalite de Beni Mtir,2216,547503,551288,318520,57.78%,547323,551288,96679,17.54%,221841,0.303525681275901
بلدية غار الدماء,Municipalite de Ghar Dimaou,2217,2536569,2980643,1701437,57.08%,2527193,2980643,336523,11.29%,1364914,0.19778751725747118
بلدية وادي مليز,Municipalite de Oued Mliz,2218,1479459,1503937,1053598,70.06%,1434372,1503937,201984,13.43%,851614,0.1917087921579198
بلدية الكاف,Municipalite du Kef,2311,8329209,8706106,5057268,58.09%,8329209,8706106,2262002,25.98%,2795266,0.44727746285148423
بلدية نبر,Municipalite de Nebr,2312,744593,794415,237389,29.88%,700454,794415,137440,17.3%,99949,0.5789653269528074
بلدية الطويرف,Municipalite de Touiref,2313,313000,664209,438211,65.97%,313000,664209,78389,11.8%,359822,0.17888414485259385
بلدية ساقية سيدي يوسف,Municipalite de Sakiet Eddaier,2314,1008771,1151460,568308,49.36%,1008771,1151460,281255,24.43%,287053,0.494898892853875
بلدية تاجروين,Municipalite de Tajerouin,2315,3660500,3730874,2256415,60.48%,3659500,3730874,605895,16.24%,1650520,0.2685210832227228
بلدية منزل سالم,Municipalite de Menzel Salem,2316,612239,642239,440050,68.52%,612239,642239,132128,20.57%,307922,0.30025678900124986
بلدية قلعة سنان,Municipalite de Kalaat Snan,2317,1115000,1967695,1115638,56.7%,1115000,1967695,224915,11.43%,890723,0.20160213259139614
بلدية القلعة الخصباء,Municipalite de Kalaat Khasba,2318,572000,1214715,670796,55.22%,572000,1214715,294401,24.24%,376395,0.4388830583366627
بلدية الجريصة,Municipalite de Jerissa,2319,1040530,1600681,833569,52.08%,1040530,1600681,449017,28.05%,384552,0.5386680646713109
بلدية القصور,Municipalite de Ksrour,2320,2106000,2298637,479921,20.88%,2105836,2298472,349256,15.2%,130665,0.7277364399557427
بلدية الدهماني,Municipalite de Dahmani,2321,2420307,2519580,576125,22.87%,2420307,2519580,287498,11.41%,288627,0.49902017791277936
بلدية السرس,Municipalite de Sers,2322,1520000,2094427,1271863,60.73%,1519000,2094427,621432,29.67%,650431,0.4885997941602201
بلدية سليانة,Municipalite de Siliana,2411,6676178,9858446,6910387,70.1%,6676178,9858446,1781880,18.07%,5128507,0.25785531258958433
بلدية بوعرادة,Municipalite de Bouarada,2412,1897752,2186165,1195327,54.68%,1897752,2186165,302282,13.83%,893045,0.2528864486454334
بلدية قعفور,Municipalite de Gaafour,2413,2191734,2698020,794515,29.45%,2191734,2698020,492136,18.24%,302379,0.6194168769626753
بلدية الكريب,Municipalite du Krib,2414,2430502,2755813,1170556,42.48%,2430502,2755813,666557,24.19%,503999,0.5694362337214111
بلدية سيدي بورويس,Municipalite Sidi Bourouis,2415,857000,863190,195513,22.65%,857000,863190,141320,16.37%,54193,0.722816385611187
بلدية مكثر,Municipalite de Makthar,2416,1821000,2507682,1178529,0.47,1433188,2507682,487127,19.43%,691402,0.413334758839197
بلدية الروحية,Municipalite Errouhia,2417,2619900,2988473,738479,24.71%,2619900,2988473,480957,16.09%,257522,0.6512805374289588
بلدية كسرى,Municipalite de Kesra,2418,916300,1714540,962418,56.13%,916300,1714540,147894,8.63%,814524,0.15366919571329712
بلدية برقو,Municipalite de Bargou,2419,1129000,1381674,451321,32.66%,1129000,1381674,206622,14.95%,244699,0.4578160555347524
بلدية العروسة,Municipalite Elaroussa,2420,1050000,1657492,926812,55.92%,1050000,1657492,614410,37.07%,312402,0.6629284040344752
بلدية سوسة,Municipalite de Sousse,3111,42649000,43476688,24898724,57.27%,42649000,43476688,5310164,12.21%,19588560,0.2132705274374703
بلدية قصيبة والثريات,Municipalite de Ksiba et Thrayet,3112,1474000,1810559,880175,48.61%,1474000,1810559,335384,18.52%,544791,0.38104240633964837
بلدية الزهور,Municipalite Ezzouhour,3113,1340000,1522586,762794,50.1%,1340000,1522586,293321,19.26%,469473,0.38453501207403307
بلدية زاوية سوسة,Municipalite Zaouiet Sousse,3114,2618000,2817130,1874279,66.53%,2618000,2817130,362342,12.86%,1511937,0.19332340596037195
بلدية حمام سوسة,Municipalite de Hamam Sousse,3115,14728000,15492926,8779011,56.66%,14728000,15492926,3522608,22.74%,5256403,0.40125339858897546
بلدية أكودة,Municipalite Akouda,3116,3948663,5446387,2854832,52.42%,3948663,5446387,824470,15.14%,2030362,0.2887980798870126
بلدية القلعة الكبرى,Municipalite de Kalaa Kbira,3117,5920969,5934161,3900014,65.72%,5920969,5934161,903657,15.23%,2996357,0.23170609131146708
بلدية سيدي بو علي,Municipalite de Sidi Bou Ali,3118,2000000,2250766,1294933,57.53%,1990000,2240766,237997,10.62%,1056936,0.18379097605822078
بلدية هرقلة,Municipalite de Hergla,3119,1500000,1940905,1323644,68.2%,1499000,1940905,272204,14.02%,1051440,0.20564743994608822
بلدية النفيضة,Municipalite Ennfidha,3120,4290000,4791189,2193344,45.78%,4289225,4790414,762713,15.92%,1430631,0.3477397982259053
بلدية بوفيشة,Municipalite Bouficha,3121,3250900,3591469,1412380,39.33%,3214450,3591469,754424,21.01%,657956,0.5341508659142724
بلدية سيدي الهاني,Municipalite Sidi Heni,3122,1418000,1645636,941752,57.23%,1418000,1645636,183833,11.17%,757919,0.19520319574580144
بلدية مساكن,Municipalite de Msaken,3123,11755234,12229066,5926893,48.47%,11185234,11659066,2476350,21.24%,3450543,0.41781587756013144
بلدية القلعة الصغرى,Municipalite de Kalaa Sghira,3124,3524271,4579413,3082838,67.32%,3524271,4579413,838033,18.3%,2244805,0.27183815691904667
بلدية المسعدين,Municipalite Messaadine,3125,2810000,3797251,2774142,73.06%,2810000,3797251,547551,14.42%,2226591,0.19737670241826122
بلدية كندار,Municipalite Kondar,3126,1675000,1675000,237173,14.16%,1675000,1675000,159583,9.53%,77590,0.6728548359214582
بلدية المنستير,Municipalite de Monsatir,3211,21405507,21886988,12733659,58.18%,21309427,21772187,3388217,15.56%,9345442,0.2660835349839351
بلدية خنيس,Municipalite de Khenis,3212,1270500,1654873,870990,52.63%,1267500,1654873,385231,23.28%,485759,0.4422909562681546
بلدية الوردانين,Municipalite de Ouardanin,3213,1703800,2345487,1457194,62.13%,1698800,2345487,413265,17.62%,1043929,0.2836032813750263
بلدية الساحلين ومعتمر,Municipalite de Sahline et Moatamar,3214,2400000,4630347,3847888,83.1%,2400000,4630347,1202311,25.97%,2645577,0.312459978045099
بلدية سيدي عامر مسجد عيسى,Municipalite de Sidi Amer Masjed Issa,3215,810000,1321390,891254,67.45%,790914,1302304,227016,17.43%,664238,0.2547152663550458
بلدية زرمدين,Municipalite de Zeramdin,3216,2263500,2470949,994371,40.24%,2255500,2470949,598945,24.24%,395426,0.6023355467928972
بلدية بني حسان,Municipalite de Beni Hassan,3217,968650,1506015,973878,64.67%,968650,1506015,293227,19.47%,680651,0.30109212858284096
بلدية غنادة,Municipalité Ghenada,3218,573000,1161386,894282,77.00%,573000,1161386,162645,14.00%,731637,0.18187216113038168
بلدية جمال,Municipalite de Jammal,3219,5050000,6706381,3901296,58.17%,5050000,6706381,913316,13.62%,2987980,0.2341057945872346
بلدية منزل كامل,Municipalité Menzel Kamel,3220,891000,1408575,824816,58.56%,854250,1408575,164490,11.68%,660326,0.19942629628911177
 بلدية زاوية قنطش,Municipalite de Zaouiet Kontech,3221,755000,1225179,714257,58.3%,755000,1225179,191876,15.66%,522381,0.26863719921540846
بلدية بنبلة المنارة,Municipalite de Bembla Menara,3222,1344500,2082317,1286284,61.77%,1344500,2082317,238798,11.47%,1047486,0.18564951441516803
بلدية منزل النور,Municipalité Menzel Nour,3223,1074100,1465177,726002,49.55%,1073100,1465177,380678,25.98%,345324,0.5243484177729538
بلدية المصدور منزل حرب,Municipalité Masdour Menzel Harb,3224,789000,1720968,1294329,75.21%,786500,1600688,293065,18.31%,1001264,0.22642233929704117
بلدية المكنين,Municipalite de Moknine,3225,14892982,14774448,5689966,38.51%,14811982,14774448,2102543,14.23%,3587423,0.3695176737435689
 بلدية سيدي بنور,Municipalité Sidi Bennour,3226,472500,739788,422234,57.08%,472500,739788,59481,8.04%,362753,0.14087212304077834
 بلدية منزل فارسي,Municipalite Menzel Fersi,3227,759000,1022651,463772,45.35%,759000,1022651,109231,10.68%,354541,0.23552737120826614
بلدية عميرة الفحول,Municipalité Amiret El Fhoul,3228,397000,638954,251982,39.44%,397000,638954,82959,12.98%,169023,0.32922589708788724
 بلدية عميرة التوازرة,Municipalité Amiret Touazra,3229,439800,702055,422459,60.17%,439800,702055,92603,13.19%,329856,0.21919996970120179
بلدية عميرة الحجاج,Municipalité Amiret Hojjaj,3230,489000,868872,568554,65.44%,489000,868872,101158,11.64%,467396,0.1779215342781864
 بلدية شراحيل,Municipalite Chrahil,3231,568000,724331,334549,46.19%,472250,632331,130117,20.58%,204432,0.3889325629429471
بلدية البقالطة,Municipalite de Bekalta,3232,2233000,2510408,1211445,48.26%,1933000,2510408,585241,23.31%,626204,0.4830933306918597
بلدية طبلبة,Municipalite de Teboulba,3233,10656100,10668807,4988564,46.76%,10578497,10591204,1155789,10.91%,3832775,0.2316877161443654
بلدية قصر هلال,Municipalite de Ksar Hlel,3234,6239302,10870939,7034089,64.71%,5039302,9670939,1630677,16.86%,5403412,0.23182490298317238
بلدية قصيبة المديوني,Municipalite de Ksibet El Mediouni,3235,1440000,1945194,1071720,55.1%,1440000,1945194,401540,20.64%,670180,0.37466875676482664
بلدية بنان بوضر,Municipalite de Bannen Boudher,3236,1130200,1489170,962637,64.64%,1129600,1489170,250653,16.83%,711984,0.26038163918486407
بلدية طوزة,Municipalite de Touza,3237,724244,1031610,600784,58.24%,724244,1031610,158468,15.36%,442316,0.2637686755972196
بلدية صيادة,Municipalite de Sayada,3238,1475000,2396697,1187181,49.53%,1475000,2396697,557755,23.27%,629426,0.46981462809799013
بلدية لمطة,Municipalite de Lamta,3239,790000,904127,289730,32.05%,790000,904127,185936,20.57%,103794,0.6417561177648156
بلدية بوحجر,Municipalite de Bouhjar,3240,1125235,1917868,1228718,64.07%,1125235,1917868,385250,20.09%,843468,0.31353817556184577
بلدية منزل الحياة,Municipalité Menzel Hayet,3241,963000,1695232,1160125,68.43%,869000,1612232,240602,14.92%,919523,0.2073931688395647
بلدية المهدية,Municipalite de Mahdia,3311,11719546,12607168,6369650,50.52%,11719546,12607168,3273618,25.97%,3096032,0.5139400124025653
بلدية رجيش,Municipalite de Rejich,3312,1742455,2003641,1127875,56.29%,1742455,2003641,414438,20.68%,713437,0.36745029369389337
بلدية بومرداس,Municipalite de Bou Merdes,3313,1724000,1753711,795040,45.33%,1720000,1753711,198084,11.3%,596956,0.24914972831555646
بلدية أولاد شامخ,Municipalite Ouled Chamekh,3314,1556392,1556467,294938,18.95%,1356492,1356567,149018,10.98%,145920,0.5052519512575524
بلدية شربان,Municipalite de Chorben,3315,2368839,2453933,760337,30.98%,2368839,2453933,204508,8.33%,555829,0.2689702066320592
بلدية هبيرة,Municipalite de Hebira,3316,1282500,1276442,575893,45.12%,1221500,1270942,279461,21.99%,296432,0.4852654920271648
بلدية السواسي,Municipalite Essouassi,3317,2283569,2361528,833624,35.3%,2283569,2361528,452880,19.18%,380744,0.5432665086417857
بلدية الجم,Municipalite de Jem,3318,4284000,4315614,1842837,42.7%,4284000,4315614,989828,22.94%,853009,0.5371218398588697
بلدية كركر,Municipalite de Kerker,3319,1392433,1414075,676574,47.85%,1392433,1414075,146815,10.38%,529759,0.21699769722158996
بلدية الشابة,Municipalite de Chebba,3320,3741000,3749350,1290304,34.41%,3741000,3749350,778738,20.77%,511566,0.6035306408412281
بلدية ملولش,Municipalite de Meloulech,3321,1240100,1280698,298171,23.28%,1089439,1130037,114969,10.17%,183202,0.3855807573506478
بلدية سيدي علوان,Municipalite de Sidi Alouen,3322,1728350,2056543,995816,48.42%,1308350,1636543,568165,34.72%,427651,0.570552190364485
بلدية قصور الساف,Municipalite de Ksour Essef,3323,3594572,3620697,1130373,31.22%,3589072,3620697,617546,17.06%,512827,0.5463205508270279
بلدية البرادعة,Municipalite de Bredaa,3324,1236450,1304238,487488,37.38%,1064720,1132508,205655,18.16%,281833,0.4218667946698175
بلدية صفاقس,Municipalite de Sfax,3411,64218117,66054636,34778145,52.65%,64218117,66054636,15552050,23.54%,19226095,0.4471788245175239
بلدية ساقية الزيت,Municipalite de Sakiet Ezzit,3412,8000000,10488407,7110313,67.79%,7000000,10488407,2198401,20.96%,4911912,0.30918484179247807
بلدية الشيحية,Municipalite de Chihia,3413,4367000,4862834,2771248,56.99%,4367000,4862834,1011204,20.79%,1760044,0.3648911970346934
 بلدية ساقية الداير,Municipalite de Sakiet Daier,3414,5600000,6911350,4646976,67.24%,5596000,6911350,1776708,25.71%,2870268,0.3823363839193488
بلدية قرمدة,Municipalite de Gremda,3415,5320000,8054449,4735834,58.8%,5320000,8054449,1461431,18.14%,3274403,0.3085899970311459
بلدية العين,Municipalite de Ain,3416,5030000,6086774,4009433,65.87%,4861360,6083834,1840338,30.25%,2169095,0.4590020583957881
بلدية طينة,Municipalite de Tina,3417,5070000,5916836,3785406,63.98%,5070000,5916836,2079182,35.14%,1706224,0.5492626154235504
بلدية عقارب,Municipalite de Aguereb,3418,2410000,2840991,1463516,51.51%,2386585,2817576,699707,24.83%,763809,0.4781000002733144
بلدية جبنيانة,Municipalite de Djebeniana,3419,1233000,1663920,1076258,64.68%,1233000,1663920,382159,22.97%,694099,0.35508121658561426
بلدية الحنشة,Municipalite de Hencha,3420,1200000,1296492,701594,54.11%,1200000,1296492,228257,17.61%,473337,0.32534058158992235
بلدية منزل شاكر,Municipalite de Menzel Chaker,3421,831000,1247544,821993,65.89%,806481,1247544,312685,25.06%,509308,0.3803986165332308
بلدية الغريبة,Municiplaite de Ghraiba,3422,894000,1290318,977248,75.74%,649061,1063179,438454,41.24%,538794,0.4486619568420708
